spec_id,family,model,window,sample_rule,y,term,b,se,t,p,ci95_low,ci95_high,sign,p_lt_0_05,pre_estimator_N,pre_estimator_projects,estimator_N,estimator_projects,rsquared_within,rsquared_overall,rsquared_between
R6_3_B_AUX_NET_CODE,R6_3_AUX_SIGNED_CHANGE_CONTEXT,B,2024-01..2025-12,Original R5 model-specific >=2-month sample; add asinh_net_code_lines; no sign/magnitude filtering,asinh_backlog,asinh_net_code_lines,-0.0008617428407538015,0.00044660544748888404,-1.9295394751656052,0.0536857182967978,-0.0017371551582750873,1.3669476767484115e-05,negative,False,13797,805,13797,805,-0.03566464510360978,0.0883405294462557,0.08247192038041551
R6_3_C_AUX_NET_CODE,R6_3_AUX_SIGNED_CHANGE_CONTEXT,C,2024-01..2025-12,Original R5 model-specific >=2-month sample; add asinh_net_code_lines; no sign/magnitude filtering,ln_resolution,ln_issues_new,-0.24738793167463616,0.03901038108422262,-6.341592283872609,2.3495005940787905e-10,-0.3238540116529183,-0.170921851696354,negative,True,13797,805,13797,805,-0.007562261928731662,-0.855087350873702,-0.8888698238972117
R6_3_C_AUX_NET_CODE,R6_3_AUX_SIGNED_CHANGE_CONTEXT,C,2024-01..2025-12,Original R5 model-specific >=2-month sample; add asinh_net_code_lines; no sign/magnitude filtering,ln_resolution,ln_contributors,-0.264519824190734,0.03411823388183757,-7.753033908696778,9.547918011776346e-15,-0.3313965766914028,-0.19764307169006518,negative,True,13797,805,13797,805,-0.007562261928731662,-0.855087350873702,-0.8888698238972117
R6_3_C_AUX_NET_CODE,R6_3_AUX_SIGNED_CHANGE_CONTEXT,C,2024-01..2025-12,Original R5 model-specific >=2-month sample; add asinh_net_code_lines; no sign/magnitude filtering,ln_resolution,asinh_net_code_lines,-0.00024216948789488197,0.0021523888558196897,-0.112511959556052,0.910419229337387,-0.004461167965201129,0.003976828989411365,negative,False,13797,805,13797,805,-0.007562261928731662,-0.855087350873702,-0.8888698238972117
R6_3_D_AUX_NET_CODE,R6_3_AUX_SIGNED_CHANGE_CONTEXT,D,2024-01..2025-12,Original R5 model-specific >=2-month sample; add asinh_net_code_lines; no sign/magnitude filtering,ln_open_age,ln_issues_new,-0.07598824742787429,0.008484203862015538,-8.956438183679175,0.0,-0.09261799010607152,-0.059358504749677056,negative,True,20852,871,20852,871,0.1268324108430139,-0.045546694045024205,-0.04579677418279937
R6_3_D_AUX_NET_CODE,R6_3_AUX_SIGNED_CHANGE_CONTEXT,D,2024-01..2025-12,Original R5 model-specific >=2-month sample; add asinh_net_code_lines; no sign/magnitude filtering,ln_open_age,ln_contributors,-0.019451051772265974,0.006863802942413294,-2.83385929570802,0.004603572723996141,-0.03290467436108833,-0.005997429183443622,negative,True,20852,871,20852,871,0.1268324108430139,-0.045546694045024205,-0.04579677418279937
R6_3_D_AUX_NET_CODE,R6_3_AUX_SIGNED_CHANGE_CONTEXT,D,2024-01..2025-12,Original R5 model-specific >=2-month sample; add asinh_net_code_lines; no sign/magnitude filtering,ln_open_age,asinh_net_code_lines,-9.956194825636041e-05,0.0003480680147390289,-0.2860416471505117,0.7748491929572787,-0.0007818041024713967,0.0005826802059586758,negative,False,20852,871,20852,871,0.1268324108430139,-0.045546694045024205,-0.04579677418279937
R6_4_A_36M,R6_4_36M_WINDOW,A,2023-01..2025-12,elig_A==1 and project has >=2 eligible months in frozen 36m panel,ln_open_age,ln_resolution,-0.011582246452553664,0.002223563121234371,-5.2088678490602005,1.9186232225187894e-07,-0.015940611469241157,-0.00722388143586617,negative,True,21020,800,21020,800,0.13890765502678737,-0.10548009746104525,-0.09192811326074546
R6_4_A_36M,R6_4_36M_WINDOW,A,2023-01..2025-12,elig_A==1 and project has >=2 eligible months in frozen 36m panel,ln_open_age,ln_issues_new,-0.1241529541617837,0.012455720180220542,-9.967545221426565,0.0,-0.1485671812969169,-0.0997387270266505,negative,True,21020,800,21020,800,0.13890765502678737,-0.10548009746104525,-0.09192811326074546
R6_4_A_36M,R6_4_36M_WINDOW,A,2023-01..2025-12,elig_A==1 and project has >=2 eligible months in frozen 36m panel,ln_open_age,ln_contributors,-0.0045798731904511635,0.008775503271950723,-0.5218929386181056,0.6017506026087167,-0.02178057511748466,0.012620828736582334,negative,False,21020,800,21020,800,0.13890765502678737,-0.10548009746104525,-0.09192811326074546
